HIP,Sampled,Predicted,Prob
726,9.0,9.0,1.0
873,8.0,8.0,1.0
2213,10.0,10.0,1.0
2926,9.0,9.0,1.0
4310,9.0,9.0,1.0
4696,10.0,10.0,1.0
6605,10.0,10.0,1.0
6653,9.0,9.0,1.0
6682,10.0,10.0,1.0
6712,10.0,10.0,1.0
7080,10.0,10.0,1.0
7276,10.0,10.0,1.0
7532,9.0,9.0,1.0
7539,10.0,10.0,1.0
8830,9.0,9.0,1.0
9222,9.0,9.0,1.0
10278,10.0,10.0,1.0
10446,10.0,10.0,1.0
10492,10.0,10.0,1.0
10531,10.0,10.0,1.0
10599,10.0,10.0,1.0
11072,10.0,10.0,1.0
11941,9.0,9.0,1.0
12158,8.0,8.0,1.0
12350,9.0,9.0,1.0
13889,10.0,10.0,1.0
14194,10.0,10.0,1.0
14355,10.0,10.0,1.0
16460,10.0,10.0,1.0
16727,10.0,10.0,1.0
16908,9.0,9.0,1.0
17486,8.0,8.0,1.0
19633,10.0,10.0,1.0
19983,10.0,10.0,1.0
20273,10.0,10.0,1.0
20489,9.0,9.0,1.0
20800,10.0,10.0,1.0
20827,10.0,10.0,1.0
20998,10.0,10.0,1.0
21923,10.0,10.0,1.0
22018,8.0,8.0,1.0
23311,9.0,9.0,1.0
23312,10.0,10.0,1.0
23627,10.0,10.0,1.0
24110,10.0,10.0,1.0
24130,9.0,9.0,1.0
24176,9.0,9.0,1.0
24923,10.0,10.0,1.0
25475,10.0,10.0,1.0
25730,8.0,8.0,1.0
26834,10.0,10.0,1.0
26935,9.0,9.0,1.0
27090,9.0,9.0,1.0
27896,10.0,10.0,1.0
30243,9.0,9.0,1.0
30377,10.0,10.0,1.0
30476,10.0,10.0,1.0
30480,10.0,10.0,1.0
31655,9.0,9.0,1.0
32103,9.0,9.0,1.0
32916,10.0,10.0,1.0
32984,10.0,10.0,1.0
32994,10.0,10.0,1.0
34239,9.0,9.0,1.0
34879,9.0,9.0,1.0
35314,9.0,9.0,1.0
36210,9.0,9.0,1.0
36272,10.0,10.0,1.0
36310,10.0,10.0,1.0
37171,9.0,9.0,1.0
37309,10.0,10.0,1.0
37520,9.0,9.0,1.0
37844,10.0,10.0,1.0
39039,10.0,10.0,1.0
39242,9.0,9.0,1.0
39298,9.0,9.0,1.0
40663,10.0,10.0,1.0
40761,9.0,9.0,1.0
41226,10.0,10.0,1.0
41479,10.0,10.0,1.0
41529,9.0,9.0,1.0
41777,9.0,9.0,1.0
42011,10.0,10.0,1.0
42430,9.0,9.0,1.0
42634,10.0,10.0,1.0
42808,9.0,9.0,1.0
43565,10.0,10.0,1.0
43634,10.0,10.0,1.0
44137,9.0,9.0,1.0
44821,10.0,10.0,1.0
45333,9.0,9.0,1.0
45983,9.0,9.0,1.0
46360,10.0,10.0,1.0
46901,10.0,10.0,1.0
47080,10.0,10.0,1.0
47463,10.0,10.0,1.0
50784,9.0,9.0,1.0
51237,10.0,10.0,1.0
51257,10.0,10.0,1.0
51258,10.0,10.0,1.0
51372,10.0,10.0,1.0
52139,9.0,9.0,1.0
52676,10.0,10.0,1.0
53087,9.0,9.0,1.0
53647,9.0,9.0,1.0
53882,10.0,10.0,1.0
53942,10.0,10.0,1.0
55846,10.0,10.0,1.0
56363,9.0,9.0,1.0
56864,10.0,10.0,1.0
56907,9.0,9.0,1.0
58093,10.0,10.0,1.0
58576,10.0,10.0,1.0
59285,10.0,10.0,1.0
59448,10.0,10.0,1.0
59525,9.0,9.0,1.0
59572,9.0,9.0,1.0
59856,10.0,10.0,1.0
59968,10.0,10.0,1.0
60096,9.0,9.0,1.0
60370,10.0,10.0,1.0
60591,9.0,9.0,1.0
61379,10.0,10.0,1.0
62345,9.0,9.0,1.0
62904,7.0,7.0,1.0
63033,10.0,10.0,1.0
63203,10.0,10.0,1.0
64387,10.0,10.0,1.0
64475,10.0,10.0,1.0
65036,10.0,10.0,1.0
65429,9.0,9.0,1.0
67927,10.0,10.0,1.0
68184,10.0,10.0,1.0
68461,10.0,10.0,1.0
68904,10.0,10.0,1.0
68936,9.0,9.0,1.0
69612,10.0,10.0,1.0
69881,10.0,10.0,1.0
69908,8.0,8.0,1.0
69972,10.0,10.0,1.0
70027,10.0,10.0,1.0
70616,10.0,10.0,1.0
71462,10.0,10.0,1.0
72190,9.0,9.0,1.0
73408,9.0,9.0,1.0
74500,10.0,10.0,1.0
75101,10.0,10.0,1.0
75535,10.0,10.0,1.0
76375,10.0,10.0,1.0
76804,10.0,10.0,1.0
77641,10.0,10.0,1.0
78408,9.0,9.0,1.0
78955,10.0,10.0,1.0
79975,10.0,10.0,1.0
80000,10.0,10.0,1.0
80343,10.0,10.0,1.0
81269,10.0,10.0,1.0
81347,9.0,9.0,1.0
81767,10.0,10.0,1.0
83906,10.0,10.0,1.0
84975,10.0,10.0,1.0
85969,9.0,9.0,1.0
86974,10.0,10.0,1.0
87710,10.0,10.0,1.0
88942,10.0,10.0,1.0
89321,10.0,10.0,1.0
89650,10.0,10.0,1.0
89962,10.0,10.0,1.0
90988,10.0,10.0,1.0
91332,9.0,9.0,1.0
91582,8.0,8.0,1.0
91949,9.0,9.0,1.0
92742,9.0,9.0,1.0
93547,10.0,10.0,1.0
93966,10.0,10.0,1.0
94244,10.0,10.0,1.0
94370,9.0,9.0,1.0
95447,9.0,9.0,1.0
95821,9.0,9.0,1.0
95926,10.0,10.0,1.0
96016,10.0,10.0,1.0
96072,9.0,9.0,1.0
96895,9.0,9.0,1.0
97125,9.0,9.0,1.0
97233,10.0,10.0,1.0
97938,10.0,10.0,1.0
98036,9.0,9.0,1.0
98210,10.0,10.0,1.0
98614,9.0,9.0,1.0
98845,10.0,10.0,1.0
99240,10.0,10.0,1.0
99316,9.0,9.0,1.0
99727,9.0,9.0,1.0
99729,10.0,10.0,1.0
99913,10.0,10.0,1.0
100022,10.0,10.0,1.0
100500,10.0,10.0,1.0
100942,10.0,10.0,1.0
101399,10.0,10.0,1.0
101760,8.0,8.0,1.0
101848,10.0,10.0,1.0
102532,9.0,9.0,1.0
102753,10.0,10.0,1.0
103682,9.0,9.0,1.0
104071,10.0,10.0,1.0
104239,10.0,10.0,1.0
105483,10.0,10.0,1.0
105606,10.0,10.0,1.0
108506,10.0,10.0,1.0
108950,10.0,10.0,1.0
109585,10.0,10.0,1.0
109836,10.0,10.0,1.0
110161,8.0,8.0,1.0
110843,10.0,10.0,1.0
111978,10.0,10.0,1.0
113779,10.0,10.0,1.0
113948,9.0,9.0,1.0
113994,9.0,9.0,1.0
114236,10.0,10.0,1.0
114328,10.0,10.0,1.0
114420,10.0,10.0,1.0
114742,10.0,10.0,1.0
115125,10.0,10.0,1.0
115953,10.0,10.0,1.0
116422,10.0,10.0,1.0
116519,10.0,10.0,1.0
116542,10.0,10.0,1.0
116823,10.0,10.0,1.0
116838,8.0,8.0,1.0
117375,10.0,10.0,1.0
117411,9.0,9.0,1.0
117427,10.0,10.0,1.0
117526,10.0,10.0,1.0
117902,9.0,9.0,1.0
118008,10.0,10.0,1.0
