HIP,Sampled,Predicted,Prob
42173,10.0,10.0,1.0
42291,10.0,10.0,1.0
42430,9.0,9.0,1.0
42634,9.0,9.0,1.0
43565,10.0,10.0,1.0
43634,10.0,10.0,1.0
44137,10.0,10.0,1.0
44821,10.0,10.0,1.0
44915,9.0,9.0,1.0
45983,9.0,9.0,1.0
46360,9.0,9.0,1.0
47080,10.0,10.0,1.0
48583,10.0,10.0,1.0
49161,10.0,10.0,1.0
49769,10.0,10.0,1.0
51078,10.0,10.0,1.0
51257,8.0,8.0,1.0
51258,10.0,10.0,1.0
51579,9.0,9.0,1.0
52316,10.0,10.0,1.0
52369,9.0,9.0,1.0
53087,10.0,10.0,1.0
53196,9.0,9.0,1.0
53647,10.0,10.0,1.0
53707,7.0,7.0,1.0
54203,10.0,10.0,1.0
54287,9.0,9.0,1.0
54406,9.0,9.0,1.0
55846,10.0,10.0,1.0
56363,10.0,10.0,1.0
56876,10.0,10.0,1.0
56907,10.0,10.0,1.0
57428,8.0,8.0,1.0
57629,10.0,10.0,1.0
58576,10.0,10.0,1.0
59572,9.0,9.0,1.0
59639,10.0,10.0,1.0
59968,10.0,10.0,1.0
60094,10.0,10.0,1.0
60096,10.0,10.0,1.0
60098,10.0,10.0,1.0
60353,9.0,9.0,1.0
60370,10.0,10.0,1.0
61123,10.0,10.0,1.0
61379,10.0,10.0,1.0
61597,10.0,10.0,1.0
61662,9.0,9.0,1.0
61743,8.0,8.0,1.0
62345,10.0,10.0,1.0
62536,10.0,10.0,1.0
62886,9.0,9.0,1.0
63033,10.0,10.0,1.0
64475,10.0,10.0,1.0
65036,10.0,10.0,1.0
66487,9.0,9.0,1.0
66990,10.0,10.0,1.0
67927,8.0,8.0,1.0
68461,10.0,10.0,1.0
68904,9.0,9.0,1.0
68936,10.0,10.0,1.0
69612,10.0,10.0,1.0
69881,10.0,10.0,1.0
69908,9.0,9.0,1.0
69972,10.0,10.0,1.0
70027,10.0,10.0,1.0
70459,8.0,8.0,1.0
70608,9.0,9.0,1.0
70616,10.0,10.0,1.0
70873,9.0,9.0,1.0
71462,10.0,10.0,1.0
72190,10.0,10.0,1.0
73408,10.0,10.0,1.0
74118,9.0,9.0,1.0
75101,10.0,10.0,1.0
75535,10.0,10.0,1.0
75676,10.0,10.0,1.0
76228,10.0,10.0,1.0
76375,9.0,9.0,1.0
76641,10.0,10.0,1.0
76804,10.0,10.0,1.0
78408,10.0,10.0,1.0
79240,9.0,9.0,1.0
79975,10.0,10.0,1.0
80543,10.0,10.0,1.0
80827,10.0,10.0,1.0
81269,8.0,8.0,1.0
81347,10.0,10.0,1.0
81421,10.0,10.0,1.0
81952,10.0,10.0,1.0
83435,10.0,10.0,1.0
83458,10.0,10.0,1.0
84975,10.0,10.0,1.0
86974,10.0,10.0,1.0
87116,10.0,10.0,1.0
87710,10.0,10.0,1.0
87769,8.0,8.0,1.0
88601,9.0,9.0,1.0
88836,10.0,10.0,1.0
89321,10.0,10.0,1.0
90055,10.0,10.0,1.0
90656,10.0,10.0,1.0
90896,10.0,10.0,1.0
91949,8.0,8.0,1.0
92720,10.0,10.0,1.0
92742,10.0,10.0,1.0
93547,10.0,10.0,1.0
94244,10.0,10.0,1.0
94346,9.0,9.0,1.0
94370,9.0,9.0,1.0
95447,9.0,9.0,1.0
95821,10.0,10.0,1.0
95849,10.0,10.0,1.0
95926,10.0,10.0,1.0
96072,10.0,10.0,1.0
96229,10.0,10.0,1.0
98036,10.0,10.0,1.0
98210,10.0,10.0,1.0
98589,10.0,10.0,1.0
98845,8.0,8.0,1.0
98920,10.0,10.0,1.0
99240,10.0,10.0,1.0
99316,9.0,9.0,1.0
99727,10.0,10.0,1.0
99729,10.0,10.0,1.0
99913,10.0,10.0,1.0
100022,10.0,10.0,1.0
100269,10.0,10.0,1.0
100500,10.0,10.0,1.0
100942,10.0,10.0,1.0
101345,10.0,10.0,1.0
101760,10.0,10.0,1.0
101848,10.0,10.0,1.0
101916,8.0,8.0,1.0
102532,10.0,10.0,1.0
102753,10.0,10.0,1.0
102815,10.0,10.0,1.0
103682,10.0,10.0,1.0
104071,10.0,10.0,1.0
104226,10.0,10.0,1.0
105066,10.0,10.0,1.0
105483,10.0,10.0,1.0
105502,10.0,10.0,1.0
105521,10.0,10.0,1.0
105606,9.0,9.0,1.0
106093,10.0,10.0,1.0
106696,9.0,9.0,1.0
107397,10.0,10.0,1.0
107822,10.0,10.0,1.0
108506,9.0,9.0,1.0
108950,9.0,9.0,1.0
109169,10.0,10.0,1.0
112049,9.0,9.0,1.0
113779,10.0,10.0,1.0
114236,9.0,9.0,1.0
114456,9.0,9.0,1.0
114638,10.0,10.0,1.0
115125,10.0,10.0,1.0
115381,10.0,10.0,1.0
115861,10.0,10.0,1.0
116517,10.0,10.0,1.0
116823,10.0,10.0,1.0
116852,10.0,10.0,1.0
116937,10.0,10.0,1.0
117184,10.0,10.0,1.0
117411,10.0,10.0,1.0
117526,9.0,9.0,1.0
117541,10.0,10.0,1.0
117880,9.0,9.0,1.0
