HIP,Sampled,Predicted,Prob
184,10.0,10.0,1.0
213,9.0,9.0,1.0
23311,9.0,9.0,1.0
23926,9.0,9.0,1.0
24130,10.0,10.0,1.0
24176,10.0,10.0,1.0
20998,9.0,9.0,1.0
115381,10.0,10.0,1.0
116542,9.0,9.0,1.0
919,9.0,9.0,1.0
116823,10.0,10.0,1.0
24813,10.0,10.0,1.0
25670,10.0,10.0,1.0
26779,9.0,9.0,1.0
26834,9.0,9.0,1.0
26973,9.0,9.0,1.0
27075,10.0,10.0,1.0
27090,10.0,10.0,1.0
27244,10.0,10.0,1.0
20357,9.0,9.0,1.0
20441,10.0,10.0,1.0
20480,10.0,10.0,1.0
20489,10.0,10.0,1.0
114914,10.0,10.0,1.0
1803,10.0,10.0,1.0
19934,10.0,10.0,1.0
30243,9.0,9.0,1.0
30476,10.0,10.0,1.0
19793,8.0,8.0,1.0
31655,10.0,10.0,1.0
34877,9.0,9.0,1.0
19038,10.0,10.0,1.0
36129,10.0,10.0,1.0
36210,10.0,10.0,1.0
37309,9.0,9.0,1.0
37520,10.0,10.0,1.0
37923,10.0,10.0,1.0
18451,10.0,10.0,1.0
18844,10.0,10.0,1.0
38531,10.0,10.0,1.0
111978,10.0,10.0,1.0
112049,10.0,10.0,1.0
113632,9.0,9.0,1.0
113948,10.0,10.0,1.0
113994,10.0,10.0,1.0
39102,10.0,10.0,1.0
39242,9.0,9.0,1.0
39330,9.0,9.0,1.0
40110,10.0,10.0,1.0
40663,10.0,10.0,1.0
40761,9.0,9.0,1.0
109836,10.0,10.0,1.0
110161,10.0,10.0,1.0
110812,10.0,10.0,1.0
2742,10.0,10.0,1.0
2926,9.0,9.0,1.0
111349,10.0,10.0,1.0
41479,9.0,9.0,1.0
41529,10.0,10.0,1.0
41777,10.0,10.0,1.0
17486,10.0,10.0,1.0
42074,10.0,10.0,1.0
42333,9.0,9.0,1.0
42634,10.0,10.0,1.0
17253,9.0,9.0,1.0
17351,10.0,10.0,1.0
43565,10.0,10.0,1.0
43634,10.0,10.0,1.0
43726,10.0,10.0,1.0
109169,9.0,9.0,1.0
3311,10.0,10.0,1.0
44137,10.0,10.0,1.0
44915,10.0,10.0,1.0
44935,10.0,10.0,1.0
45333,10.0,10.0,1.0
45983,9.0,9.0,1.0
46360,10.0,10.0,1.0
16727,10.0,10.0,1.0
46901,10.0,10.0,1.0
47080,10.0,10.0,1.0
48583,9.0,9.0,1.0
49081,9.0,9.0,1.0
49161,10.0,10.0,1.0
16405,10.0,10.0,1.0
16460,10.0,10.0,1.0
105483,9.0,9.0,1.0
105606,10.0,10.0,1.0
106093,10.0,10.0,1.0
106213,10.0,10.0,1.0
106440,10.0,10.0,1.0
106696,9.0,9.0,1.0
3583,10.0,10.0,1.0
107001,9.0,9.0,1.0
107246,10.0,10.0,1.0
49756,10.0,10.0,1.0
50035,10.0,10.0,1.0
51258,10.0,10.0,1.0
52676,9.0,9.0,1.0
53084,8.0,8.0,1.0
53087,9.0,9.0,1.0
53647,10.0,10.0,1.0
53882,10.0,10.0,1.0
54083,9.0,9.0,1.0
104071,10.0,10.0,1.0
54155,10.0,10.0,1.0
54287,10.0,10.0,1.0
54406,9.0,9.0,1.0
14632,10.0,10.0,1.0
57629,10.0,10.0,1.0
57757,10.0,10.0,1.0
58558,10.0,10.0,1.0
58576,10.0,10.0,1.0
14194,10.0,10.0,1.0
59176,10.0,10.0,1.0
59532,9.0,9.0,1.0
59572,10.0,10.0,1.0
60098,10.0,10.0,1.0
5176,10.0,10.0,1.0
5189,10.0,10.0,1.0
102753,9.0,9.0,1.0
61505,10.0,10.0,1.0
61546,10.0,10.0,1.0
62145,10.0,10.0,1.0
62345,10.0,10.0,1.0
62886,10.0,10.0,1.0
62904,10.0,10.0,1.0
63833,10.0,10.0,1.0
64150,10.0,10.0,1.0
12894,10.0,10.0,1.0
65530,10.0,10.0,1.0
66487,10.0,10.0,1.0
66990,10.0,10.0,1.0
12350,10.0,10.0,1.0
99240,9.0,9.0,1.0
99316,10.0,10.0,1.0
100022,10.0,10.0,1.0
100072,9.0,9.0,1.0
100363,10.0,10.0,1.0
100649,10.0,10.0,1.0
100942,10.0,10.0,1.0
68468,10.0,10.0,1.0
68936,9.0,9.0,1.0
69536,10.0,10.0,1.0
69612,9.0,9.0,1.0
11924,9.0,9.0,1.0
12110,10.0,10.0,1.0
69724,10.0,10.0,1.0
69972,10.0,10.0,1.0
70027,10.0,10.0,1.0
98106,10.0,10.0,1.0
98210,10.0,10.0,1.0
98920,10.0,10.0,1.0
99171,9.0,9.0,1.0
71462,10.0,10.0,1.0
71803,9.0,9.0,1.0
72742,10.0,10.0,1.0
72848,10.0,10.0,1.0
73241,10.0,10.0,1.0
73408,9.0,9.0,1.0
73815,10.0,10.0,1.0
75101,10.0,10.0,1.0
11000,10.0,10.0,1.0
75535,10.0,10.0,1.0
10446,10.0,10.0,1.0
77152,9.0,9.0,1.0
96229,9.0,9.0,1.0
96813,10.0,10.0,1.0
96895,10.0,10.0,1.0
97125,10.0,10.0,1.0
97312,10.0,10.0,1.0
6197,10.0,10.0,1.0
6431,10.0,10.0,1.0
6498,9.0,9.0,1.0
6512,10.0,10.0,1.0
97977,10.0,10.0,1.0
